ID BV_kg ID_Orig
61820 1254.07402990505 4193103
63690 208.21519640036 1469767
63848 260.70648518578 3168479
64682 153.22106557788 4126603
67493 933.24589189568 7837725
67610 546.04934042918 1538173
68601 872.5503895254 1531127
69653 1032.69866183489 1436736
70616 798.17581776404 4223818
70884 535.76601748413 1327078
71318 1047.76264700394 1456333
72158 508.61862718662 7873946
73228 47.38138489887 4093241
73359 323.34952112954 2053712
73552 196.91648606828 4167447
74323 968.08978383061 9408357
74720 343.52929098473 5644277
74808 278.41473335539 2041821
75223 263.52831800037 4226349
75534 845.33222116752 4097314
76795 498.25840852497 7417752
77386 224.79279349071 7873284
77828 1074.99006782795 4226018
77898 565.57536403032 8415008
78346 603.72181778899 1482136
80236 368.96128708975 5021133
81397 29.63574436074 5021463
82450 -56.76395212598 4116249
82737 365.69561010535 1405905
82945 110.55757931852 3120041
83500 1507.72013028386 1560307
83854 905.14508804391 1588272
84189 745.58072681536 3795040
84386 561.83935153626 4149388
84520 1062.32060992914 7866456
84604 298.68859935816 1485881
84709 741.11101063046 2056021
85514 674.82806226585 1602365
86322 725.36820997197 1501075
87499 359.27138630872 3120923
87607 697.01927226519 7413351
87876 362.27977101025 7827040
88176 543.26382106777 7421058
88452 811.10229539191 4110192
88886 393.37003327746 4120431
89053 143.14480053509 1321348
89109 778.75042125988 1577704
89133 633.18050338821 4099182
89236 1008.78951416711 4131771
89514 649.42650415608 1482139
89596 1182.55810009351 4176801
90135 -150.94656421664 1520123
90590 657.55031555527 1481809
90800 -43.59245679591 1490727
91552 1239.72498412393 9708859
91771 935.26233210712 1640901
92416 145.05528735419 1338082
92613 1029.61776445176 1585632
92999 699.71481545471 1346119
93272 328.5992710502 1421426
94032 926.23558339516 7845755
94229 1342.34475521095 7836837
94242 241.13783584031 8273096
94756 970.09876718145 2050073
95753 625.75605299019 1553264
96391 69.01708314663 9730990
96480 926.73957471544 1441463
96699 808.36275618102 5638546
96810 727.2450676825 4141898
96814 1003.01814386173 4147513
97021 1300.57972414858 1510216
98203 942.26924503804 1557008
102227 140.98719190154 1353383
102515 432.78253189103 1332134
102670 997.01812297249 4092022
102889 746.08995996735 1321014
103441 539.83456549454 3153186
104972 1392.39106021133 4097196
105136 889.67039524824 7842339
105421 1093.9985989987 1423955
105982 518.40320576953 8611141
106528 162.73667698113 1518586
107167 1213.26694442409 4166337
107955 1109.66573877162 1568681
108527 82.53238073786 8273320
109079 598.48653152905 6947104
109295 400.89693364096 1291506
112660 1172.16470091984 4161271
113082 593.97806758599 7845860
113546 943.88272194444 4176134
113966 402.36598086955 3120820
114320 108.8355550217 1300863
114766 39.85870373609 4169748
115142 386.63073941706 1435843
115883 105.72584170146 1373197
116246 648.41468076547 3132491
116392 1420.68609255911 1515616
120259 -25.7651014148 1402592
120263 347.40970284359 8406762
120486 424.56186276344 1589603
121763 726.65268378011 8614770
122484 179.3440303368 2065149
123440 577.96254551561 3134805
123608 589.11422968695 4192646
124354 1073.9970386765 1458851
124659 978.74212203947 7851582
126403 -202.89676735502 1572099
126619 367.07961563019 1424720
126959 39.44752670084 3114658
127739 408.86645555438 4118659
127873 -68.46343031011 1532354
128061 252.27784686598 1397085
128199 797.26840471291 1605239
129327 1130.56454062233 1395213
129447 -219.33635830227 4212352
129648 632.60169249765 4158514
130010 520.08281341199 9361110
130061 957.12325348045 9365624
130262 1052.01214468513 5638537
130510 289.46552951973 4167762
130759 670.64418187286 4112823
130836 219.01284018615 1360862
131353 528.21667684132 8416894
131496 741.07101926048 4163578
131857 1202.4035019439 1429673
132414 580.12959104631 2061403
132447 327.75675461036 5021119
132926 456.99137222003 4137044
134135 1038.54057683542 9715146
134141 589.51663979995 3166406
134323 34.8410121714 5621801
134771 -190.26891603668 4210589
134808 177.26929629921 1597644
136409 592.985503522 5634792
136690 1220.9957547876 7866442
137023 704.65120821554 4125923
137357 184.81777625093 5644040
138470 216.11413259321 8609701
139899 594.4479606414 2078246
141136 144.60010303575 4103572
142707 1173.04520703271 9709203
143255 1080.04653365809 1388163
143329 476.04457331771 1375832
143963 1084.7784727698 9365290
144751 721.20903917057 1293148
144800 1615.30047798934 7853118
144893 839.46004651956 4172052
147380 581.16893376577 9364078
148151 359.03006995806 1622860
148345 385.19964313898 4210145
149711 452.40362930035 1574087
150071 343.8270976546 2048737
150351 77.36573675761 5028711
150791 603.83194867231 6033534
150936 663.0596687353 1479403
151180 392.96700396725 4194180
152054 1499.86731517341 1598089
152457 47.6080888748 4123827
152651 189.80212529784 3141749
153197 830.38545580184 1423722
153451 1069.09360330517 1506708
153678 911.92254210849 8616523
154047 117.52406858588 7817774
154092 521.56172492399 4126579
154253 -128.9877283548 1310651
154845 -88.76696283577 4194179
154847 326.38508539569 1324303
155778 254.71611363273 1356011
156197 861.35963896023 4145185
156370 872.07288402787 1551849
156843 671.94702625861 9365837
156938 -121.6765294727 4173480
157370 876.38982715485 1589723
157537 129.92716249251 1436272
158128 815.22400616289 1522123
158782 49.90620538918 3093858
160183 614.59431890292 1547336
160623 -3.57246575592 1514637
